478	siNCiru、maNkami	①、①	句			鶴は千年,亀は万年。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
490	sjooN、tataN	⓪、⓪	句			効果がない。かいがない。しょうがない。nuu simitiN～.何をさせてもやらせがいがない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
527	tuiN、CimiN、naraN	⓪、①、⓪	句			始末におえない。手に余る。どうしようもない。～'wa-rabi.（いたずらで）始末におえない子供。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
534	tuuja、nukaN	①、⓪	句			当たらずといえども遠からず。かねての見込みに遠くははずれない。まとはずれではない。遠くは退かないの意。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
534	tuukaa、neeN	①、⓪	句			何の隔意もない。さっぱりしている。よい意味に用いる。～muniikata.うちとけた話し方。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
548	?ujabuNnoo、Qkwacikusjoo	⓪、①	句			親は子ぼんのうで,子は親に対して畜生のよう。親の心子知らず。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
548	?ujaCirasa、QkwaCirasa	⓪、①	句			親もつらく,子もつらいこと。親子別離の場合などにいう。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
550	?uki?Nzi=ju●N	⓪	他=raN,=ti			起きて出る。（病人などが）床を離れる。					
552	?umicakiN、neeN	①、⓪	句			思いがけない。～kutu.思いがけないこと。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
554	?umiN、'juraN	⓪、①	句			思いもよらない。意外な。～kutu.思いもよらないこと。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
557	?uNceemu●N	⓪	名			拝借した物。お借りした物。～nihwee deebiru.お借りしたものをありがとうございます。					
562	?urijookuri●joo	⓪	名			あれこれと大騒ぎすること。上を下への大騒ぎ。					
568	?utaciku●ci	⓪	名			元祖。開祖。家の一番はじめの祖先。お立ち口の意。					
574	?uziN、?ubiraN	⓪、①	句			思いもよらない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
576	'ugaNduusa●N	⓪	形			久しくお会いしない。御無沙汰をしている。miiduusaNの敬語。'ugaNduusaibiiSiga ?waacimiSeebiitii.久しくお目にかかりませんが,お元気でいらっしゃいましたか。					
594	'wigeenee、kanaaN	①、⓪	句			'jugeenee kanaaNと同じ。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
597	ZaaN、neeN	①、⓪	句			人の言を気にしない。他人のおもわくをかえりみない。座をわきまえない。平気である。よい意にも悪い意にも使う。Zaaは座の意か。～Qcu.人を気にしない人。～sikata.人をかえりみないやり方。～,taameeutiN ?uci?ucinu kutu hanasi Qsi.座をわきまえない,誰の前でもうちうちの事を話して。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
598	ZamaZamaa、neeN	⓪、⓪	句			数限りない。無数である。ZamaZamaa neeraN ?imi.無数の夢。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
606	ZuSee、neeN	①、⓪	句			ありそうである。多分。きっと。～kutu.ありそうな事。～,?ariga sjaru kutoo ?araNga 'jaa.きっと彼がやった事ではないかね。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
